NumberOfIntegers,DataStructure,insert(),insertAt(),contains(),indexOf(),get(),delete()
1350000,LinkedList,6.62,88.94,121.45,108.84,70.37,0.08
1350000,Vector,9.97,1143.14,39.85,37.4,0.03,1197.12
1350000,Vector_Initialized,9.77,1203.11,45.62,45.61,0.03,1247.18

1400000,ArrayList,25.21,1076.72,32.69,32.45,0.01,1075.31
1400000,ArrayList_Initialized,24.3,1054.39,30.68,37.05,0.01,1059.18
1400000,LinkedList,29.02,82.89,114.34,99.37,64.18,0.05
1400000,Vector,39.37,1092.19,33.06,33.33,0.02,1066.59
1400000,Vector_Initialized,27.68,1044.85,34.15,30.96,0.02,1057.93

1450000,ArrayList,17.56,1037.1,31.7,29.72,0.01,1072.24
1450000,ArrayList_Initialized,15.71,1060.1,29.96,29.17,0.01,1228.82
1450000,LinkedList,15.27,73.41,99.74,96.14,63.42,0.06
1450000,Vector,24.39,1032.64,33.99,32.43,0.02,1021.89
1450000,Vector_Initialized,18.99,1028.46,28.97,29.54,0.02,997.4

1500000,ArrayList,16.42,993.28,30.23,30.59,0.01,1024.29
1500000,ArrayList_Initialized,12.76,1022.26,32.72,30.78,0.01,1046.98
1500000,LinkedList,12.14,64.91,94.14,98.43,63.85,0.05
1500000,Vector,18.22,1025.41,28.91,30.97,0.05,991.93
1500000,Vector_Initialized,12.46,1009.3,30.34,31.83,0.02,1034.83

1550000,ArrayList,19.58,985.9,28.1,31.27,0.01,1018.45
1550000,ArrayList_Initialized,21.03,1020.48,29.15,27.71,0.01,1019.94
1550000,LinkedList,19.59,62.56,96.18,95.5,61.45,0.05
1550000,Vector,27.62,1038.23,28.72,30.92,0.02,1028.1
1550000,Vector_Initialized,21.14,1052.41,31.71,31.53,0.02,1010.31

1600000,ArrayList,24.2,995.37,30.09,30.95,0.01,1070.76
1600000,ArrayList_Initialized,29.09,1177.54,34.1,35.83,0.01,1161.26
1600000,LinkedList,19.3,65.39,97.76,98.45,64.02,0.15
1600000,Vector,28.33,1065.39,30.65,32.28,0.02,1099.76
1600000,Vector_Initialized,23.64,1068.35,32.58,32.03,0.05,1034.17

1650000,ArrayList,17.32,1045.9,30.63,30.96,0.01,1055.57
1650000,ArrayList_Initialized,15.9,1075.93,30.13,29.82,0.01,1146.21
1650000,LinkedList,15.99,73.72,101.97,103.41,68.87,0.06
1650000,Vector,21.29,1105.33,41.16,48.81,0.03,1314.18
1650000,Vector_Initialized,20.22,1233.12,38.16,37.86,0.02,1105.39

1700000,ArrayList,29.85,1090.93,29.44,30.62,0.01,1053.89
1700000,ArrayList_Initialized,21.53,1077.83,34.98,34.89,0.01,1121.92
1700000,LinkedList,24.71,74.94,105.75,101.44,68.5,0.05
1700000,Vector,30.14,1093.98,32.93,32.13,0.02,1066.39
1700000,Vector_Initialized,23.39,1020.19,30.55,30.24,0.02,1009.95

1750000,ArrayList,26.04,1005.32,30.45,30.15,0.01,1010.89
1750000,ArrayList_Initialized,22.6,997.42,30.77,33.36,0.01,1021.12
1750000,LinkedList,337.19,90.78,127.31,113.44,72.04,0.07
1750000,Vector,13.08,1020.69,32.21,34.61,0.02,1026.32
1750000,Vector_Initialized,9.89,1092.73,36.42,38.98,0.02,1122.09

1800000,ArrayList,18.99,1146.79,33.03,33.6,0.01,1123.45
1800000,ArrayList_Initialized,20.66,1133.56,30.79,30.55,0.01,1007.61
1800000,LinkedList,16.0,65.86,95.54,99.15,64.27,0.06
1800000,Vector,23.83,1038.91,32.33,33.13,0.02,1024.88
1800000,Vector_Initialized,20.99,1023.79,31.76,31.25,0.02,1020.26

1850000,ArrayList,19.66,1029.58,31.7,30.99,0.01,1007.67
1850000,ArrayList_Initialized,11.83,1019.22,31.09,31.06,0.01,1011.92
