NumberOfIntegers,DataStructure,insert(),insertAt(),contains(),indexOf(),get(),delete()
4350000,ArrayList,27,27,27,27,27,27
4350000,ArrayList_Initialized,61,61,61,61,61,61
4350000,LinkedList,46,47,47,47,47,46
4350000,Vector,28,28,28,28,28,28
4350000,VectorInitialized,61,61,61,61,61,61

4400000,ArrayList,27,27,27,27,27,27
4400000,ArrayList_Initialized,61,61,61,61,61,61
4400000,LinkedList,46,47,47,47,47,46
4400000,Vector,28,28,28,28,28,28
4400000,VectorInitialized,61,61,61,61,61,61

4450000,ArrayList,27,27,27,27,27,27
4450000,ArrayList_Initialized,61,61,61,61,61,61
4450000,LinkedList,46,47,47,47,47,46
4450000,Vector,28,28,28,28,28,28
4450000,VectorInitialized,61,61,61,61,61,61

4500000,ArrayList,27,27,27,27,27,27
4500000,ArrayList_Initialized,61,61,61,61,61,61
4500000,LinkedList,46,47,47,47,47,46
4500000,Vector,28,28,28,28,28,28
4500000,VectorInitialized,61,61,61,61,61,61

4550000,ArrayList,27,27,27,27,27,27
4550000,ArrayList_Initialized,61,61,61,61,61,61
4550000,LinkedList,46,47,47,47,47,46
4550000,Vector,28,28,28,28,28,28
4550000,VectorInitialized,61,61,61,61,61,61

4600000,ArrayList,27,27,27,27,27,27
4600000,ArrayList_Initialized,61,61,61,61,61,61
4600000,LinkedList,46,47,47,47,47,46
4600000,Vector,28,28,28,28,28,28
4600000,VectorInitialized,61,61,61,61,61,61

4650000,ArrayList,27,27,27,27,27,27
4650000,ArrayList_Initialized,61,61,61,61,61,61
4650000,LinkedList,46,47,47,47,47,46
4650000,Vector,28,28,28,28,28,28
4650000,VectorInitialized,61,61,61,61,61,61

4700000,ArrayList,27,27,27,27,27,27
4700000,ArrayList_Initialized,61,61,61,61,61,61
4700000,LinkedList,46,47,47,47,47,46
4700000,Vector,28,28,28,28,28,28
4700000,VectorInitialized,61,61,61,61,61,61

4750000,ArrayList,27,27,27,27,27,27
4750000,ArrayList_Initialized,61,61,61,61,61,61
4750000,LinkedList,46,47,47,47,47,46
4750000,Vector,28,28,28,28,28,28
4750000,VectorInitialized,61,61,61,61,61,61

4800000,ArrayList,27,27,27,27,27,27
4800000,ArrayList_Initialized,61,61,61,61,61,61
4800000,LinkedList,46,47,47,47,47,46
4800000,Vector,28,28,28,28,28,28
4800000,VectorInitialized,61,61,61,61,61,61

4850000,ArrayList,27,27,27,27,27,27
4850000,ArrayList_Initialized,61,61,61,61,61,61
4850000,LinkedList,46,47,47,47,47,46
4850000,Vector,28,28,28,28,28,28
4850000,VectorInitialized,61,61,61,61,61,61

4900000,ArrayList,27,27,27,27,27,27
4900000,ArrayList_Initialized,61,61,61,61,61,61
4900000,LinkedList,46,47,47,47,47,46
4900000,Vector,28,28,28,28,28,28
4900000,VectorInitialized,61,61,61,61,61,61

4950000,ArrayList,27,27,27,27,27,27
4950000,ArrayList_Initialized,61,61,61,61,61,61
4950000,LinkedList,46,47,47,47,47,46
4950000,Vector,28,28,28,28,28,28
4950000,VectorInitialized,61,61,61,61,61,61

5000000,ArrayList,27,27,27,27,27,27
5000000,ArrayList_Initialized,61,61,61,61,61,61
5000000,LinkedList,46,47,47,47,47,46
5000000,Vector,28,28,28,28,28,28
5000000,VectorInitialized,61,61,61,61,61,61

5050000,ArrayList,27,27,27,27,27,27
5050000,ArrayList_Initialized,61,61,61,61,61,61
5050000,LinkedList,46,47,47,47,47,46
5050000,Vector,28,28,28,28,28,28
5050000,VectorInitialized,61,61,61,61,61,61

5100000,ArrayList,27,27,27,27,27,27
5100000,ArrayList_Initialized,61,61,61,61,61,61
5100000,LinkedList,46,47,47,47,47,46
5100000,Vector,28,28,28,28,28,28
5100000,VectorInitialized,61,61,61,61,61,61

5150000,ArrayList,27,27,27,27,27,27
5150000,ArrayList_Initialized,61,61,61,61,61,61
5150000,LinkedList,46,47,47,47,47,46
5150000,Vector,28,28,28,28,28,28
5150000,VectorInitialized,61,61,61,61,61,61

5200000,ArrayList,27,27,27,27,27,27
5200000,ArrayList_Initialized,61,61,61,61,61,61
5200000,LinkedList,46,47,47,47,47,46
5200000,Vector,28,28,28,28,28,28
5200000,VectorInitialized,61,61,61,61,61,61

5250000,ArrayList,27,27,27,27,27,27
5250000,ArrayList_Initialized,61,61,61,61,61,61
5250000,LinkedList,46,47,47,47,47,46
5250000,Vector,28,28,28,28,28,28
5250000,VectorInitialized,61,61,61,61,61,61

5300000,ArrayList,27,27,27,27,27,27
5300000,ArrayList_Initialized,61,61,61,61,61,61
5300000,LinkedList,46,47,47,47,47,46
5300000,Vector,28,28,28,28,28,28
5300000,VectorInitialized,61,61,61,61,61,61

5350000,ArrayList,27,27,27,27,27,27
5350000,ArrayList_Initialized,61,61,61,61,61,61
5350000,LinkedList,46,47,47,47,47,46
5350000,Vector,28,28,28,28,28,28
5350000,VectorInitialized,61,61,61,61,61,61

5400000,ArrayList,27,27,27,27,27,27
5400000,ArrayList_Initialized,61,61,61,61,61,61
5400000,LinkedList,46,47,47,47,47,46
5400000,Vector,28,28,28,28,28,28
5400000,VectorInitialized,61,61,61,61,61,61

5450000,ArrayList,27,27,27,27,27,27
5450000,ArrayList_Initialized,61,61,61,61,61,61
5450000,LinkedList,46,47,47,47,47,46
5450000,Vector,28,28,28,28,28,28
5450000,VectorInitialized,61,61,61,61,61,61

5500000,ArrayList,27,27,27,27,27,27
5500000,ArrayList_Initialized,61,61,61,61,61,61
5500000,LinkedList,46,47,47,47,47,46
5500000,Vector,28,28,28,28,28,28
5500000,VectorInitialized,61,61,61,61,61,61

5550000,ArrayList,27,27,27,27,27,27
5550000,ArrayList_Initialized,61,61,61,61,61,61
5550000,LinkedList,46,47,47,47,47,46
5550000,Vector,28,28,28,28,28,28
5550000,VectorInitialized,61,61,61,61,61,61

5600000,ArrayList,27,27,27,27,27,27
5600000,ArrayList_Initialized,61,61,61,61,61,61
5600000,LinkedList,46,47,47,47,47,46
5600000,Vector,28,28,28,28,28,28
5600000,VectorInitialized,61,61,61,61,61,61

5650000,ArrayList,27,27,27,27,27,27
5650000,ArrayList_Initialized,61,61,61,61,61,61
5650000,LinkedList,46,47,47,47,47,46
5650000,Vector,28,28,28,28,28,28
5650000,VectorInitialized,61,61,61,61,61,61

5700000,ArrayList,27,27,27,27,27,27
5700000,ArrayList_Initialized,61,61,61,61,61,61
5700000,LinkedList,46,47,47,47,47,46
5700000,Vector,28,28,28,28,28,28
5700000,VectorInitialized,61,61,61,61,61,61

5750000,ArrayList,27,27,27,27,27,27
5750000,ArrayList_Initialized,61,61,61,61,61,61
5750000,LinkedList,46,47,47,47,47,46
5750000,Vector,28,28,28,28,28,28
5750000,VectorInitialized,61,61,61,61,61,61

5800000,ArrayList,27,27,27,27,27,27
5800000,ArrayList_Initialized,61,61,61,61,61,61
5800000,LinkedList,46,47,47,47,47,46
5800000,Vector,28,28,28,28,28,28
5800000,VectorInitialized,61,61,61,61,61,61

5850000,ArrayList,27,27,27,27,27,27
5850000,ArrayList_Initialized,61,61,61,61,61,61
5850000,LinkedList,46,47,47,47,47,46
5850000,Vector,28,28,28,28,28,28
5850000,VectorInitialized,61,61,61,61,61,61

5900000,ArrayList,27,27,27,27,27,27
5900000,ArrayList_Initialized,61,61,61,61,61,61
5900000,LinkedList,46,47,47,47,47,46
5900000,Vector,28,28,28,28,28,28
5900000,VectorInitialized,61,61,61,61,61,61

5950000,ArrayList,27,27,27,27,27,27
5950000,ArrayList_Initialized,61,61,61,61,61,61
5950000,LinkedList,46,47,47,47,47,46
5950000,Vector,28,28,28,28,28,28
5950000,VectorInitialized,61,61,61,61,61,61

6000000,ArrayList,27,27,27,27,27,27
6000000,ArrayList_Initialized,61,61,61,61,61,61
6000000,LinkedList,46,47,47,47,47,46
6000000,Vector,28,28,28,28,28,28
6000000,VectorInitialized,61,61,61,61,61,61

6050000,ArrayList,27,27,27,27,27,27
6050000,ArrayList_Initialized,61,61,61,61,61,61
6050000,LinkedList,46,47,47,47,47,46
6050000,Vector,28,28,28,28,28,28
6050000,VectorInitialized,61,61,61,61,61,61

6100000,ArrayList,27,27,27,27,27,27
