ID,NumberOfIntegers,DataStructure,insert(),insertAt(),contains(),indexOf(),get(),delete()
217,2250000,LinkedList,10.79,69.44,96.75,96.47,66.24,0.05
218,2250000,Vector,19.63,1065.27,30.23,31,0.02,1044.72
219,2250000,Vector_Initialized,15.94,1030.61,31.63,31.41,0.03,1020.54
220,2300000,ArrayList,17.15,1017.37,28.91,28.94,0.01,1026.01
221,2300000,ArrayList_Initialized,15.67,1035.09,31.31,31.18,0.01,1017.38
222,2300000,LinkedList,13.83,63.18,92.28,95.91,61.28,0.07
223,2300000,Vector,22.1,1019.95,30.74,32.01,0.02,1053.46
224,2300000,Vector_Initialized,17.93,1037.61,33.45,30.89,0.03,1034.96
225,2350000,ArrayList,22.16,1053.53,30.9,30.85,0.01,1037.68
226,2350000,ArrayList_Initialized,21.27,1065.37,30.9,30.08,0.01,1032.39
227,2350000,LinkedList,19.98,68.37,97.12,96.3,61.91,0.05
228,2350000,Vector,138.18,1069.29,31.58,30.79,0.03,1077.81
229,2350000,Vector_Initialized,9.3,1030.54,32.19,31.84,0.02,1053.37
230,2400000,ArrayList,11.1,1017.75,29.74,30.05,0.01,1086.25
231,2400000,ArrayList_Initialized,10.79,1047.89,30.36,30.33,0.01,1029.08
232,2400000,LinkedList,8.23,68.49,95.31,95.15,69.7,0.08
233,2400000,Vector,14.16,1088.99,35.05,37.17,0.04,1138.96
234,2400000,Vector_Initialized,12.83,1144.64,34.6,33.64,0.02,1068.72
235,2450000,ArrayList,13.29,1030.83,30.67,30.12,0.01,1051.82
236,2450000,ArrayList_Initialized,13.2,1081.07,31.53,31.24,0.01,1028.23
237,2450000,LinkedList,10.45,68.4,96.34,97.61,64.05,0.05
238,2450000,Vector,17.7,1083.76,29.94,31.1,0.02,1022.81
239,2450000,Vector_Initialized,14.01,1026.7,31.21,32.27,0.02,1028.37
240,2500000,ArrayList,19.28,1034.72,31.96,34.25,0.01,1037.95
241,2500000,ArrayList_Initialized,13.43,1029.23,32.86,32.15,0.01,1028.87
242,2500000,LinkedList,10.99,68.04,114.37,103.05,63.75,0.05
243,2500000,Vector,13.29,1049.02,29.02,29.04,0.03,1038.97
244,2500000,Vector_Initialized,15.4,1067.79,34.17,33.27,0.02,1045.16
245,2550000,ArrayList,14.81,1056.35,30.53,31.23,0.01,1035.33
246,2550000,ArrayList_Initialized,15.57,1038.64,32.14,29.02,0.01,1072.58
247,2550000,LinkedList,13.37,64.17,93.73,93.86,62.21,0.05
248,2550000,Vector,19.91,1023.85,31.16,31.5,0.03,1041.15
249,2550000,Vector_Initialized,16.89,1010.66,31.53,30.76,0.03,1137.43
250,2600000,ArrayList,19.76,1158.23,34.77,35.63,0.01,1149.29
251,2600000,ArrayList_Initialized,15.02,1023.03,30.19,29.7,0.01,1094.55
252,2600000,LinkedList,15.06,77.07,110.93,109.1,71.04,0.07
253,2600000,Vector,20.08,1144.75,36.4,37.41,0.02,1157.75
254,2600000,Vector_Initialized,16.5,1049.5,31.15,31.27,0.02,1045.11
255,2650000,ArrayList,16.14,1022.77,29.55,29.81,0.01,1031.16
256,2650000,ArrayList_Initialized,16.26,1024.05,30.54,31.66,0.01,1027.48
257,2650000,LinkedList,14.84,68.1,95.3,95.95,62.02,0.06
258,2650000,Vector,19.02,1008.28,35,32.15,0.02,1008.3
259,2650000,Vector_Initialized,17.77,1023.89,31.3,32.1,0.02,1029.77
260,2700000,ArrayList,18.11,1026.46,29.82,29.44,0.01,1029.41
261,2700000,ArrayList_Initialized,12.5,1034.61,33.19,31.05,0.01,1542.89
262,2700000,LinkedList,10.53,77.93,106.53,100.64,65.09,0.06
263,2700000,Vector,12.81,1062.9,40.58,35.08,0.02,1080.42
264,2700000,Vector_Initialized,16.94,1226.6,44.16,41.74,0.03,1190.01
265,2750000,ArrayList,19.45,1028.54,31.08,30.11,0.01,1020.69
266,2750000,ArrayList_Initialized,15.84,1100.9,30.49,29.56,0.01,1010.16
267,2750000,LinkedList,10.44,61.27,90.95,90.91,60.57,0.04
268,2750000,Vector,16.13,995.67,30.4,30.64,0.02,1007.67
269,2750000,Vector_Initialized,14.8,995.71,30.85,30.92,0.02,1118.46
270,2800000,ArrayList,16.71,1183.85,35.41,35.08,0.01,1111.42
271,2800000,ArrayList_Initialized,12.89,1041.17,31.3,33.56,0.01,1044.42
272,2800000,LinkedList,9.44,68.49,97.76,96.11,62.66,0.05
273,2800000,Vector,160.7,1085.41,33.12,31.17,0.03,1086.1
