NumberOfIntegers,DataStructure,put(),replace(),containsKey(),containsValue(),get(),remove()
330000,TreeMap,319.98,3.22,2.8,49334.08,3.41,2.65
,,,,,,,
340000,HashMap,38.44,1.2,0.71,7220.92,0.63,0.3
340000,HashMap_Initialized,21.28,0.83,0.36,8145.61,0.63,0.28
340000,LinkedHashMap,33.95,1.12,0.43,4736.16,0.68,0.38
340000,LinkedHashMap_Initialized,27.73,0.84,0.35,4774.71,0.63,0.37
340000,TreeMap,252.24,3.3,2.78,54022.1,3.67,2.95
,,,,,,,
350000,HashMap,35.41,0.89,0.48,7639.62,0.67,0.37
350000,HashMap_Initialized,23.39,1,0.56,7189.96,0.56,0.35
350000,LinkedHashMap,34.38,1.1,0.97,6042.87,0.77,0.46
350000,LinkedHashMap_Initialized,27.34,0.79,0.5,4970.62,0.46,0.47
350000,TreeMap,264.28,3.34,2.81,56425.16,4.78,7.06
,,,,,,,
360000,HashMap,40.05,0.66,0.3,7818.53,0.31,0.53
360000,HashMap_Initialized,19.97,0.64,0.25,7345.6,0.29,0.25
360000,LinkedHashMap,29.52,0.42,0.17,5833.31,0.45,0.74
360000,LinkedHashMap_Initialized,35.13,0.82,0.37,5783.44,0.3,0.39
360000,TreeMap,272.99,3.37,2.86,60540.27,3.87,3.32
,,,,,,,
370000,HashMap,32.4,0.6,0.23,7759.22,0.36,0.24
370000,HashMap_Initialized,21.31,0.42,0.19,7793.54,0.29,0.25
370000,LinkedHashMap,42,0.86,0.29,6531.26,0.34,0.33
370000,LinkedHashMap_Initialized,25.72,0.72,0.25,5609.81,0.31,0.29
370000,TreeMap,285.65,3.19,2.62,64941.93,3.8,3.23
,,,,,,,
380000,HashMap,31.72,0.71,0.2,8210.71,0.39,0.34
380000,HashMap_Initialized,29.43,1.27,0.29,9227.71,0.33,0.38
380000,LinkedHashMap,35.56,0.6,0.24,5974.73,0.32,0.35
380000,LinkedHashMap_Initialized,25.62,0.62,0.23,6249.57,0.48,0.64
380000,TreeMap,455.24,5.64,3.96,69415.23,4,3.33
,,,,,,,
390000,HashMap,31.53,0.46,0.21,8596.41,0.32,0.28
390000,HashMap_Initialized,25.58,0.77,0.32,9590.26,0.42,0.41
390000,LinkedHashMap,32.61,0.48,0.2,6403.2,0.36,0.61
390000,LinkedHashMap_Initialized,26.34,0.57,0.26,6318.37,0.4,0.42
390000,TreeMap,300.57,3.54,3.04,73989.13,4.07,3.57
,,,,,,,
400000,HashMap,47.56,0.67,0.17,12332.32,0.31,0.24
400000,HashMap_Initialized,32.29,0.44,0.16,12197.5,0.33,0.27
400000,LinkedHashMap,47.59,0.65,0.21,7281.12,0.43,0.6
400000,LinkedHashMap_Initialized,39.69,0.97,0.24,8281.35,0.33,0.41
400000,TreeMap,323.33,3.71,3.1,76914.21,4.56,4.23
,,,,,,,
410000,HashMap,44.75,0.79,0.2,13779.04,0.33,0.28
410000,HashMap_Initialized,26.25,0.57,0.17,12720.16,0.33,0.27
410000,LinkedHashMap,40.41,0.91,0.17,7769.43,0.36,0.45
410000,LinkedHashMap_Initialized,32.55,0.77,0.34,7924.09,0.35,0.52
410000,TreeMap,366.61,3.66,3.08,64221.28,3.9,3.37
,,,,,,,
420000,HashMap,51.66,0.82,0.25,16190.62,0.33,0.29
420000,HashMap_Initialized,37.07,0.66,0.29,14478.43,0.34,0.28
420000,LinkedHashMap,60.81,0.57,0.24,8799.15,0.37,0.48
420000,LinkedHashMap_Initialized,44.69,0.49,0.24,9804.77,0.37,0.54
420000,TreeMap,532.91,4.84,4.83,86923.02,5.03,5.34
,,,,,,,
430000,HashMap,45.19,0.8,0.3,14601.67,0.37,0.31
430000,HashMap_Initialized,34.15,0.47,0.2,12821.4,0.35,0.27
430000,LinkedHashMap,52.58,0.85,0.21,9435.16,0.36,0.48
430000,LinkedHashMap_Initialized,40.81,0.53,0.24,8339.18,0.37,0.6
430000,TreeMap,364.06,4.14,3.65,91461.14,4.45,3.99
,,,,,,,
440000,HashMap,38.84,0.5,0.22,14313.37,0.35,0.3
440000,HashMap_Initialized,45.69,0.79,0.28,14335.2,0.52,0.44
440000,LinkedHashMap,48.07,0.5,0.24,8915.4,0.37,0.7
440000,LinkedHashMap_Initialized,40.75,0.52,0.23,9876.98,0.37,0.7
440000,TreeMap,363.13,4.21,3.38,96718.78,5.13,4.05
,,,,,,,
450000,HashMap,47.15,0.8,0.37,15918.64,0.36,0.33
450000,HashMap_Initialized,35.6,0.78,0.28,14910.31,0.42,0.36
450000,LinkedHashMap,48.21,0.54,0.24,9313.82,0.39,0.76
450000,LinkedHashMap_Initialized,44.83,0.73,0.23,10283.08,0.39,0.65
450000,TreeMap,383.94,4.27,3.74,102360.65,5.2,5.2
,,,,,,,
460000,HashMap,52.55,0.95,0.35,15293.05,0.37,0.3
460000,HashMap_Initialized,36.15,0.82,0.32,15488.69,0.37,0.27
460000,LinkedHashMap,49.33,0.74,0.25,9675.37,0.39,0.67
460000,LinkedHashMap_Initialized,42.69,0.55,0.26,10700.02,0.46,0.39
460000,TreeMap,390.24,4.23,3.42,109080.85,4.68,4.59
,,,,,,,
470000,HashMap,42.15,1.33,0.35,16057.01,0.38,0.28
470000,HashMap_Initialized,36.6,0.6,0.33,15994.8,0.42,0.33
470000,LinkedHashMap,51.56,1.21,0.35,10081.51,0.41,0.56
470000,LinkedHashMap_Initialized,42.96,0.55,0.27,11414.95,0.4,0.64
470000,TreeMap,425.59,4.63,3.98,112576.17,5.09,4.54
,,,,,,,
480000,HashMap,66.63,1.11,0.39,17421.97,0.54,0.47
480000,HashMap_Initialized,39.96,0.83,0.27,16762.41,0.39,0.33
480000,LinkedHashMap,51.16,0.56,0.28,10737.9,0.4,0.7
480000,LinkedHashMap_Initialized,42.33,0.57,0.28,11590.08,0.42,0.67
480000,TreeMap,658.13,6.35,4.44,121106.77,6.07,5.63
,,,,,,,
490000,HashMap,46.64,0.62,0.31,19182.52,0.46,0.44
490000,HashMap_Initialized,41.56,0.59,0.3,19133.67,0.44,0.41
490000,LinkedHashMap,57.44,0.61,0.32,13181.55,0.43,0.67
490000,LinkedHashMap_Initialized,49.16,0.87,0.33,12005.51,0.49,0.79
490000,TreeMap,485.88,5.24,4.48,135607.5,5.99,5.31
,,,,,,,
500000,HashMap,82.58,1.96,1.25,25935.15,1.73,1.43
500000,HashMap_Initialized,46.6,1.89,1.09,24202.41,2,1.4
500000,LinkedHashMap,96.05,2.14,1.2,16596.27,1.99,1.93
500000,LinkedHashMap_Initialized,68.62,2.01,1.21,15324.28,1.88,1.36
500000,TreeMap,525.04,6.53,6.08,135427.59,6.72,7.13
,,,,,,,
510000,HashMap,69.06,1.92,1.1,20689.1,2.02,1.13
510000,HashMap_Initialized,34.21,2.09,1.23,19315,1.92,0.98
510000,LinkedHashMap,49.86,1.99,1.1,12326.83,2,1.22
510000,LinkedHashMap_Initialized,101.94,2.56,1.98,13334.27,2.79,1.94
510000,TreeMap,527.9,6.3,4.99,141019.23,6.55,6.5
,,,,,,,
520000,HashMap,86.81,1.62,0.83,24845.43,1.46,1.22
520000,HashMap_Initialized,32.43,1.61,0.68,20339.47,1.05,0.63
520000,LinkedHashMap,90.77,1.66,0.83,10912.23,1.21,1.01
520000,LinkedHashMap_Initialized,38.52,1.6,0.67,11018.52,1.18,1.21
520000,TreeMap,621.72,6.97,6.1,116521.2,7.16,7.52
,,,,,,,
530000,HashMap,90.94,1.84,1.2,33702.68,1.95,1.09
530000,HashMap_Initialized,62.62,1.41,0.66,27841.28,0.86,0.86
530000,LinkedHashMap,107.02,3.99,1.24,20563.58,1.41,1.36
530000,LinkedHashMap_Initialized,90.33,3.15,1.07,20469.08,1.11,2.31
530000,TreeMap,666.7,7.83,7.44,177359.76,9.48,9.86
,,,,,,,
540000,HashMap,87.44,1.65,0.64,23504.01,0.53,0.46
540000,HashMap_Initialized,46.74,1.46,0.37,21681.85,0.46,0.4
540000,LinkedHashMap,70.78,1.32,0.48,13210.84,0.5,1.03
540000,LinkedHashMap_Initialized,62.55,1.8,0.66,14129.24,0.77,1.16
540000,TreeMap,602.75,7,6.28,181343.31,9.41,9.43
,,,,,,,
550000,HashMap,97.24,1.7,0.58,27553.59,0.65,0.64
550000,HashMap_Initialized,51.06,1.61,0.51,26469.59,0.57,0.84
550000,LinkedHashMap,77.19,1.15,0.37,18396.77,0.82,1.76
550000,LinkedHashMap_Initialized,59.22,1.53,0.34,18228.39,0.51,1
550000,TreeMap,719.86,11.27,9.55,197055.02,6.94,8.12
,,,,,,,
560000,HashMap,120.98,1.57,0.71,27541.28,1.12,2.75
560000,HashMap_Initialized,54.83,1.31,0.62,28674.54,0.66,0.56
560000,LinkedHashMap,82.85,1.41,0.34,19119.89,0.51,0.94
560000,LinkedHashMap_Initialized,61.5,1.73,0.64,18066.64,1.22,1.43
560000,TreeMap,896.35,10.05,10.6,202656.28,7.97,8.58
,,,,,,,
570000,HashMap,85.87,1.36,0.46,32885.51,0.7,0.95
570000,HashMap_Initialized,63.88,1.89,1.02,30622.58,0.91,0.89
570000,LinkedHashMap,92.82,1.9,0.79,21169.22,1.02,1.46
570000,LinkedHashMap_Initialized,60.02,1.86,0.91,20640.75,1.16,0.9
570000,TreeMap,784.28,8,7.28,209399.23,12.59,11.27
,,,,,,,
580000,HashMap,89.77,1.02,0.42,37357.32,0.88,1.03
580000,HashMap_Initialized,66.25,2.68,0.82,35324.75,1.14,0.64
580000,LinkedHashMap,90.65,1.88,1.04,24752.32,2.27,1.48
580000,LinkedHashMap_Initialized,70.82,1.69,0.92,26220.44,2.53,1.13
580000,TreeMap,1404.84,13.3,9.14,249065.12,15.48,15.37
,,,,,,,
590000,HashMap,93.51,2.07,0.5,38478.65,0.53,0.7
590000,HashMap_Initialized,64.66,1.12,0.42,37541.71,0.61,0.6
590000,LinkedHashMap,91.12,1.8,0.98,25767.41,0.86,1.13
590000,LinkedHashMap_Initialized,74.39,1.72,0.43,25951.7,0.56,1.62
590000,TreeMap,843.19,9.58,8.15,261558.28,9.69,10.26
,,,,,,,
600000,HashMap,135.94,3.24,3.35,47600.19,3.19,2.25
600000,HashMap_Initialized,82.62,2.63,2.09,41916.27,2.76,2.68
600000,LinkedHashMap,168.21,4.21,2.8,32941.5,3.92,4.14
600000,LinkedHashMap_Initialized,119.51,3.12,3.92,28807.5,2.61,2.05
600000,TreeMap,1009.03,12.88,9.63,143378.26,10.34,10.23
,,,,,,,
610000,HashMap,72.91,2.49,1.71,38976.74,5.4,4.16
610000,HashMap_Initialized,71.55,3.28,2.64,35465.85,2.22,1.66
610000,LinkedHashMap,73.09,2.58,1.72,23505.16,2.43,1.91
610000,LinkedHashMap_Initialized,70.83,2.36,1.38,23344.63,1.89,1.66
610000,TreeMap,731.91,8.61,7.19,132677.79,8.49,7.76
,,,,,,,
620000,HashMap,86.95,2.37,1.44,32402.41,1.46,0.97
620000,HashMap_Initialized,53.99,2.31,1.53,32814.41,1.78,1.31
620000,LinkedHashMap,83.51,1.99,1.22,20898.17,1.42,1.21
620000,LinkedHashMap_Initialized,63.52,2.28,1.42,20912.89,1.46,1.41
620000,TreeMap,1032.92,9.08,9.1,237710.22,10.57,12.35
,,,,,,,
630000,HashMap,104.18,2.12,1.79,27982.31,1.1,1.43
630000,HashMap_Initialized,44.65,1.21,0.53,28808.66,0.66,0.62
630000,LinkedHashMap,69.3,1.11,0.46,17104.9,1.17,2.27
630000,LinkedHashMap_Initialized,71.57,1.82,0.78,16934.44,0.67,1.09
630000,TreeMap,672.56,8.07,7.82,240959.14,8.02,8.79
,,,,,,,
640000,HashMap,70.98,1.27,0.54,27145.16,0.57,0.66
640000,HashMap_Initialized,39.31,1.1,0.51,26534.47,0.56,0.52
640000,LinkedHashMap,61.76,1.43,0.48,17798.61,0.67,1.21
640000,LinkedHashMap_Initialized,47.94,1.18,0.49,18068.13,0.67,0.96
640000,TreeMap,601.01,7.43,7.43,232512.32,7.93,8.03
,,,,,,,
650000,HashMap,78,1.63,0.65,27960.78,0.57,0.6
650000,HashMap_Initialized,45.54,1.88,0.73,28907.32,0.71,0.83
650000,LinkedHashMap,78.75,1.67,0.45,19255.91,0.61,1.04
650000,LinkedHashMap_Initialized,54.51,1.76,0.76,18353.78,1.01,2.18
650000,TreeMap,913.71,10.73,12.66,249711.61,8.7,8.49
,,,,,,,
660000,HashMap,64.28,1.68,0.47,31582.22,0.66,0.75
660000,HashMap_Initialized,38.36,0.98,0.51,30342.25,0.6,0.57
660000,LinkedHashMap,96.75,2.74,0.86,22091.58,1.49,5.28
660000,LinkedHashMap_Initialized,45.35,1.14,0.82,20451.13,0.62,1.25
660000,TreeMap,652.6,7.31,6.93,249637.91,7.65,7.87
,,,,,,,
670000,HashMap,62.73,1.41,0.75,30037.12,0.83,0.76
670000,HashMap_Initialized,42.32,1.99,1.33,34125.39,1.38,0.78
670000,LinkedHashMap,65.88,2.01,0.67,24001.16,0.65,1.24
670000,LinkedHashMap_Initialized,67.53,1.83,0.76,24000.69,0.99,1.78
670000,TreeMap,785.37,10.02,9.18,276865.25,8.93,9.39
,,,,,,,
680000,HashMap,94.72,4.57,2.12,35823.72,2.6,1.28
