NumberOfIntegers,DataStructure,insert(),insertAt(),contains(),indexOf(),get(),delete()
3700000,ArrayList,10.61,1057.74,30.06,29.54,0.01,1023.24
3700000,ArrayList_Initialized,8.91,1023.97,29.87,30.65,0.01,1028.46
3700000,LinkedList,8.76,69.78,98.81,95.28,62.35,0.05
3700000,Vector,10.94,998.65,31.79,32.12,0.02,1012.87
3700000,Vector_Initialized,9.29,1202.02,33.61,33.31,0.02,1061.71

3750000,ArrayList,21.61,1033.08,30.11,29.67,0.01,1027.63
3750000,ArrayList_Initialized,19.3,1021.6,30.11,30.18,0.01,1022.13
3750000,LinkedList,21.09,68.01,96.44,96.3,63.26,0.06
3750000,Vector,24.49,999.05,29.84,30.88,0.02,1008.07
3750000,Vector_Initialized,23.37,1021.63,32.07,31.31,0.02,1023.72

3800000,ArrayList,22.57,1077.53,30.18,29.73,0.01,1029.98
3800000,ArrayList_Initialized,19.74,1017.85,30.84,30.36,0.01,1022.32
3800000,LinkedList,201.0,85.97,115.11,102.88,68.84,0.09
3800000,Vector,9.27,1012.54,30.62,30.23,0.02,1014.88
3800000,Vector_Initialized,8.5,1014.11,31.8,31.65,0.02,1024.67

3850000,ArrayList,22.98,1048.15,29.74,30.2,0.01,1071.13
3850000,ArrayList_Initialized,21.46,1029.07,30.67,30.12,0.01,1063.05
3850000,LinkedList,192.89,87.21,114.49,103.68,66.82,0.06
3850000,Vector,143.4,1052.05,29.9,30.15,0.02,1014.51
3850000,Vector_Initialized,9.74,1010.71,30.38,32.09,0.03,1016.08

3900000,ArrayList,22.14,1003.14,30.19,30.07,0.01,1002.3
3900000,ArrayList_Initialized,19.77,1017.68,30.11,30.07,0.01,1022.41
3900000,LinkedList,21.64,70.0,104.17,109.67,69.72,0.06
